Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
638, 1513594288,        208
639, 1513594289,       1251
640, 1513594290,       1207
641, 1513594291,       2914
642, 1513594292,        126
643, 1513594293,       3959
644, 1513594294,       5276
645, 1513594295,       5289
646, 1513594296,       2941
647, 1513594297,       2688
648, 1513594298,       2148
649, 1513594299,       1353
650, 1513594300,       1458
651, 1513594301,       1290
652, 1513594302,        307
653, 1513594303,       1511
654, 1513594304,        189
655, 1513594305,       1859
656, 1513594306,       4594
657, 1513594307,          9
658, 1513594308,       3286
659, 1513594309,       5180
660, 1513594310,       5088
661, 1513594311,       3896
662, 1513594312,       1542
663, 1513594313,       3311
664, 1513594314,       1283
665, 1513594315,       1313
666, 1513594316,       1586
667, 1513594317,        234
668, 1513594318,        431
669, 1513594319,       1408
670, 1513594320,       3246
671, 1513594321,       4530
672, 1513594322,       2461
673, 1513594323,       5290
674, 1513594324,       5024
675, 1513594325,       3371
676, 1513594326,       3149
677, 1513594327,       1467
678, 1513594328,       1358
679, 1513594329,       1521
680, 1513594330,       1042
681, 1513594331,        658
682, 1513594332,         46
683, 1513594333,        192
684, 1513594334,         19
685, 1513594335,         14
686, 1513594336,       4585
687, 1513594337,          9
688, 1513594338,       1245
689, 1513594339,       5788
690, 1513594340,       5261
691, 1513594341,       3469
692, 1513594342,       2017
693, 1513594343,         55
694, 1513594344,       1474
695, 1513594345,       1538
696, 1513594346,       3239
697, 1513594347,        328
698, 1513594348,        125
699, 1513594349,       4415
700, 1513594350,       6323
701, 1513594351,       4554
702, 1513594352,       3181
703, 1513594353,       2182
704, 1513594354,        602
705, 1513594355,       2156
706, 1513594356,       1505
707, 1513594357,        725
708, 1513594358,        880
709, 1513594359,        485
710, 1513594360,        128
711, 1513594361,       2369
712, 1513594362,       1319
713, 1513594363,       1970
714, 1513594364,       1695
715, 1513594365,       4289
716, 1513594366,       5298
717, 1513594367,       2177
718, 1513594368,       2383
719, 1513594369,       4599
720, 1513594370,       1687
721, 1513594371,       1337
722, 1513594372,       1113
723, 1513594373,        156
724, 1513594374,       1256
725, 1513594375,        783
726, 1513594376,       2257
727, 1513594377,       4079
728, 1513594378,       1387
729, 1513594379,       3680
730, 1513594380,       4906
731, 1513594381,       4649
732, 1513594382,       2651
733, 1513594383,       2231
734, 1513594384,        729
735, 1513594385,       1139
736, 1513594386,       1323
737, 1513594387,       2284
738, 1513594388,        164
739, 1513594389,       5103
740, 1513594390,       5014
741, 1513594391,       6632
742, 1513594392,       3247
743, 1513594393,       2892
744, 1513594394,       2419
745, 1513594395,       1536
746, 1513594396,       1854
747, 1513594397,       1509
748, 1513594398,        472
749, 1513594399,        696
750, 1513594400,        138
751, 1513594401,        353
752, 1513594402,          5
753, 1513594403,       4997
754, 1513594404,       1161
755, 1513594405,       2413
756, 1513594406,       3754
757, 1513594407,       6568
758, 1513594408,       5015
759, 1513594409,       1571
760, 1513594410,       2708
761, 1513594411,       1724
762, 1513594412,       1301
763, 1513594413,       1689
764, 1513594414,        597
765, 1513594415,        236
766, 1513594416,        757
767, 1513594417,       1001
768, 1513594418,         23
769, 1513594419,       1873
770, 1513594420,          5
771, 1513594421,       3951
772, 1513594422,       6261
773, 1513594423,       1990
774, 1513594424,       3948
775, 1513594425,       1985
776, 1513594426,       2190
777, 1513594427,       1848
778, 1513594428,       1395
779, 1513594429,        791
780, 1513594430,        544
781, 1513594431,        633
782, 1513594432,        404
783, 1513594433,         20
784, 1513594434,       1061
785, 1513594435,       3075
786, 1513594436,          3
787, 1513594437,       4170
788, 1513594438,       4721
789, 1513594439,       3366
790, 1513594440,       2998
791, 1513594441,       1698
792, 1513594442,       3485
793, 1513594443,       1620
794, 1513594444,        940
795, 1513594445,       1084
796, 1513594446,        239
797, 1513594447,        609
798, 1513594448,       2550
799, 1513594449,        603
800, 1513594450,       2225
801, 1513594451,        205
802, 1513594452,       2220
803, 1513594453,       3478
804, 1513594454,       5637
805, 1513594455,       6696
806, 1513594456,       1233
807, 1513594457,       4475
808, 1513594458,       2346
809, 1513594459,       2562
810, 1513594460,       1676
811, 1513594461,        993
812, 1513594462,        599
813, 1513594463,        743
814, 1513594464,        962
815, 1513594465,        120
816, 1513594466,        530
817, 1513594467,       1755
818, 1513594468,       4909
819, 1513594469,       1392
820, 1513594470,        649
821, 1513594471,       4880
822, 1513594472,       1991
823, 1513594473,       2830
824, 1513594474,       4494
825, 1513594475,       3018
826, 1513594476,       1013
827, 1513594477,       1258
828, 1513594478,        238
829, 1513594479,        771
830, 1513594480,       1102
831, 1513594481,        706
832, 1513594482,       2490
833, 1513594483,       4649
834, 1513594484,       1826
835, 1513594485,       1226
836, 1513594486,       4699
837, 1513594487,       2571
838, 1513594488,       1111
839, 1513594489,       1732
840, 1513594490,         72
841, 1513594491,        655
842, 1513594492,       1130
843, 1513594493,       1825
844, 1513594494,       1660
845, 1513594495,        137
846, 1513594496,       5887
847, 1513594497,       3787
848, 1513594498,       5749
849, 1513594499,       1804
850, 1513594500,       3028
851, 1513594501,       3104
852, 1513594502,       2763
853, 1513594503,       1265
854, 1513594504,        960
855, 1513594505,         71
856, 1513594506,        685
857, 1513594507,        590
858, 1513594508,        676
859, 1513594509,       1205
860, 1513594510,          4
861, 1513594511,         93
862, 1513594512,       1830
863, 1513594513,          7
864, 1513594514,         91
865, 1513594515,         25
866, 1513594516,        634
867, 1513594517,        509
868, 1513594518,         38
869, 1513594519,       2386
870, 1513594520,       1188
871, 1513594521,        916
872, 1513594522,       3810
873, 1513594523,       2712
874, 1513594524,       3715
875, 1513594525,       2080
876, 1513594526,       3863
877, 1513594527,       2758
878, 1513594528,        798
879, 1513594529,        865
880, 1513594530,        685
881, 1513594531,        492
882, 1513594532,        872
883, 1513594533,        211
884, 1513594534,          8
885, 1513594535,        283
886, 1513594536,       6318
887, 1513594537,       2777
888, 1513594538,        306
889, 1513594539,       3222
890, 1513594540,       3738
891, 1513594541,       2734
892, 1513594542,       2073
893, 1513594543,        750
894, 1513594544,       4104
895, 1513594545,       5639
896, 1513594546,        659
897, 1513594547,        544
898, 1513594548,         57
899, 1513594549,        324
900, 1513594550,       1341
901, 1513594551,       1065
902, 1513594552,       1662
903, 1513594553,         18
904, 1513594554,         14
905, 1513594555,          9
906, 1513594556,       3451
907, 1513594557,       2354
908, 1513594558,        119
909, 1513594559,         11
910, 1513594560,          7
911, 1513594561,         34
912, 1513594562,        784
913, 1513594563,       4939
914, 1513594564,       7281
915, 1513594565,         28
916, 1513594566,        204
917, 1513594567,        251
918, 1513594568,        848
919, 1513594569,       4075
920, 1513594570,       1423
921, 1513594571,          6
922, 1513594572,          5
923, 1513594573,         27
924, 1513594574,        222
925, 1513594575,        701
926, 1513594576,        990
927, 1513594577,       1855
928, 1513594578,        726
929, 1513594579,       2910
930, 1513594580,       4388
931, 1513594581,         14
932, 1513594582,       2143
933, 1513594583,       1113
934, 1513594584,        169
935, 1513594585,       2546
936, 1513594586,       2161
937, 1513594587,        136
938, 1513594588,        580
939, 1513594589,         18
940, 1513594590,         65
941, 1513594591,        381
942, 1513594592,        854
943, 1513594593,       2533
944, 1513594594,        409
945, 1513594595,       2147
946, 1513594596,       3298
947, 1513594597,       4944
948, 1513594598,       4299
949, 1513594599,       3169
950, 1513594600,       4588
951, 1513594601,       1122
952, 1513594602,       1337
953, 1513594603,       1018
954, 1513594604,        904
955, 1513594605,        930
956, 1513594606,        636
957, 1513594607,        261
958, 1513594608,       5248
959, 1513594609,        750
960, 1513594610,        211
961, 1513594611,         12
962, 1513594612,       3645
963, 1513594613,       4080
964, 1513594614,        872
965, 1513594615,         80
966, 1513594616,         14
967, 1513594617,       1929
968, 1513594618,       1235
969, 1513594619,        328
970, 1513594620,          7
971, 1513594621,          9
972, 1513594622,         97
973, 1513594623,        577
974, 1513594624,         13
975, 1513594625,         22
976, 1513594626,       1410
977, 1513594627,          5
978, 1513594628,       1817
979, 1513594629,         67
980, 1513594630,          8
981, 1513594631,        147
982, 1513594632,        209
983, 1513594633,        174
984, 1513594634,       3846
985, 1513594635,          5
986, 1513594636,         14
987, 1513594637,          9
988, 1513594638,         10
989, 1513594639,       3841
990, 1513594640,       4145
991, 1513594641,          8
992, 1513594642,         17
993, 1513594643,         14
994, 1513594644,       2326
995, 1513594645,       1938
996, 1513594646,        390
997, 1513594647,          6
998, 1513594648,          6
999, 1513594649,         88
1000, 1513594650,        518
1001, 1513594651,        664
1002, 1513594652,          2
1003, 1513594653,       2742
1004, 1513594654,          2
1005, 1513594655,          3
1006, 1513594656,         39
1007, 1513594657,       4058
1008, 1513594658,       1928
1009, 1513594659,        438
1010, 1513594660,          8
1011, 1513594661,        177
1012, 1513594662,       2405
1013, 1513594663,       1078
1014, 1513594664,        110
1015, 1513594665,         24
1016, 1513594666,          9
1017, 1513594667,        337
1018, 1513594668,       1034
1019, 1513594669,         11
1020, 1513594670,       2051
1021, 1513594671,          6
1022, 0,          0
1023, 1513594673,         13
1024, 1513594674,        916
1025, 1513594675,       1704
1026, 1513594676,        251
1027, 1513594677,        254
1028, 1513594678,         15
1029, 1513594679,         23
1030, 1513594680,        491
1031, 1513594681,        970
1032, 1513594682,          5
1033, 1513594683,       3460
1034, 1513594684,         12
1035, 1513594685,       2833
1036, 1513594686,       6539
1037, 1513594687,       5068
1038, 1513594688,       3092
1039, 1513594689,       2654
1040, 1513594690,       3405
1041, 1513594691,       2256
1042, 1513594692,       1673
1043, 1513594693,       1027
1044, 1513594694,        301
1045, 1513594695,        665
1046, 1513594696,        880
1047, 1513594697,        276
1048, 1513594698,       3578
1049, 1513594699,       3124
1050, 1513594700,        542
1051, 1513594701,       6695
1052, 1513594702,       6036
1053, 1513594703,       6166
1054, 1513594704,       1450
1055, 1513594705,       1961
1056, 1513594706,       3798
1057, 1513594707,       2553
1058, 1513594708,       1626
1059, 1513594709,        974
1060, 1513594710,         82
1061, 1513594711,        576
