Meta data,
  aggregation method, average
  max retention, 86400
  xFilesFactor, 0.5

Archive 0 info,
  offset, 28
  seconds per point, 1
  points, 86400
  retention, 86400
  size, 1036800

Archive 0 data,
653, 1513594304,     161966
654, 1513594305,         11
655, 1513594306,         19
656, 1513594307,        728
657, 1513594308,       3515
658, 1513594309,         16
659, 1513594310,         15
660, 1513594311,        474
661, 1513594312,     273620
662, 1513594313,      43879
663, 1513594314,          4
664, 1513594315,          4
665, 1513594316,         47
666, 1513594317,         38
667, 1513594318,       2514
668, 1513594319,     101267
669, 1513594320,          8
670, 1513594321,         19
671, 1513594322,       1433
672, 1513594323,         16
673, 1513594324,         13
674, 1513594325,          8
675, 1513594326,        581
676, 1513594327,      65406
677, 1513594328,     355947
678, 1513594329,         32
679, 1513594330,          0
680, 1513594331,          1
681, 1513594332,          1
682, 1513594333,      54556
683, 1513594334,     200552
684, 1513594335,          6
685, 1513594336,         17
686, 1513594337,          5
687, 1513594338,       3451
688, 1513594339,        852
689, 1513594340,         34
690, 1513594341,         14
691, 1513594342,     272247
692, 1513594343,      80660
693, 1513594344,         23
694, 1513594345,          5
695, 1513594346,         37
696, 1513594347,          4
697, 1513594348,       1284
698, 1513594349,       1839
699, 1513594350,         20
700, 1513594351,         13
701, 1513594352,      19228
702, 1513594353,     324558
703, 1513594354,       6613
704, 1513594355,          8
705, 1513594356,          4
706, 1513594357,          7
707, 1513594358,        852
708, 1513594359,     241200
709, 1513594360,          3
710, 1513594361,      17555
711, 1513594362,         11
712, 1513594363,      35666
713, 1513594364,      61232
714, 1513594365,         10
715, 1513594366,         10
716, 1513594367,       1065
717, 1513594368,       3540
718, 1513594369,     272187
719, 1513594370,      16651
720, 1513594371,          5
721, 1513594372,          5
722, 1513594373,       1152
723, 1513594374,     179276
724, 1513594375,          4
725, 1513594376,         26
726, 1513594377,         20
727, 1513594378,       1940
728, 1513594379,         40
729, 1513594380,         69
730, 1513594381,         12
731, 1513594382,       1561
732, 1513594383,     168258
733, 1513594384,     160653
734, 1513594385,         40
735, 1513594386,          4
736, 1513594387,         46
737, 1513594388,        178
738, 1513594389,        738
739, 1513594390,         55
740, 1513594391,         13
741, 1513594392,       1703
742, 1513594393,       3382
743, 1513594394,     267188
744, 1513594395,     187672
745, 1513594396,         11
746, 1513594397,          2
747, 1513594398,          2
748, 1513594399,          4
749, 1513594400,          1
750, 1513594401,     164594
751, 1513594402,         15
752, 1513594403,         50
753, 1513594404,        259
754, 1513594405,       2552
755, 1513594406,      18496
756, 1513594407,         15
757, 1513594408,         15
758, 1513594409,       2501
759, 1513594410,     200333
760, 1513594411,     189533
761, 1513594412,      27698
762, 1513594413,          6
763, 1513594414,          6
764, 1513594415,          5
765, 1513594416,         75
766, 1513594417,     202842
767, 1513594418,      60892
768, 1513594419,         13
769, 1513594420,          4
770, 1513594421,       2950
771, 1513594422,      56680
772, 1513594423,          8
773, 1513594424,         17
774, 1513594425,       2334
775, 1513594426,     374975
776, 1513594427,      22719
777, 1513594428,         37
778, 1513594429,          4
779, 1513594430,          4
780, 1513594431,          5
781, 1513594432,      99532
782, 1513594433,      53882
783, 1513594434,      92371
784, 1513594435,         11
785, 1513594436,        392
786, 1513594437,      21694
787, 1513594438,        244
788, 1513594439,      18020
789, 1513594440,        146
790, 1513594441,       2548
791, 1513594442,     115797
792, 1513594443,     310491
793, 1513594444,          4
794, 1513594445,          5
795, 1513594446,          7
796, 1513594447,         11
797, 1513594448,      37850
798, 1513594449,     131114
799, 1513594450,         13
800, 1513594451,          9
801, 1513594452,       2034
802, 1513594453,      21398
803, 1513594454,         25
804, 1513594455,         38
805, 1513594456,       1894
806, 1513594457,      24321
807, 1513594458,     215124
808, 1513594459,     193618
809, 1513594460,          6
810, 1513594461,          4
811, 1513594462,          8
812, 1513594463,        317
813, 1513594464,      56773
814, 1513594465,     136482
815, 1513594466,         13
816, 1513594467,         25
817, 1513594468,       7517
818, 1513594469,     131259
819, 1513594470,          2
820, 1513594471,         38
821, 1513594472,        240
822, 1513594473,       1572
823, 1513594474,       1591
824, 1513594475,      51545
825, 1513594476,     400142
826, 1513594477,          0
827, 1513594478,          2
828, 1513594479,         40
829, 1513594480,        216
830, 1513594481,      19012
831, 1513594482,      21197
832, 1513594483,         10
833, 1513594484,        435
834, 1513594485,       1545
835, 1513594486,       1278
836, 1513594487,      20497
837, 1513594488,     368796
838, 1513594489,      54364
839, 1513594490,        650
840, 1513594491,          4
841, 1513594492,          4
842, 1513594493,         96
843, 1513594494,         21
844, 1513594495,        271
845, 1513594496,      12884
846, 1513594497,       7341
847, 1513594498,         31
848, 1513594499,        793
849, 1513594500,       1392
850, 1513594501,       1247
851, 1513594502,      36224
852, 1513594503,     306195
853, 1513594504,     190825
854, 1513594505,       1251
855, 1513594506,        433
856, 1513594507,         15
857, 1513594508,         25
858, 1513594509,      80487
859, 1513594510,         35
860, 1513594511,        911
861, 1513594512,     307816
862, 1513594513,      38526
863, 1513594514,          2
864, 1513594515,          8
865, 1513594516,      13044
866, 1513594517,     227737
867, 1513594518,      23195
868, 1513594519,         13
869, 1513594520,      20730
870, 1513594521,        842
871, 1513594522,         32
872, 1513594523,      38936
873, 1513594524,         13
874, 1513594525,        625
875, 1513594526,       1167
876, 1513594527,      83286
877, 1513594528,     399149
878, 1513594529,      45864
879, 1513594530,          4
880, 1513594531,         39
881, 1513594532,          4
882, 1513594533,          5
883, 1513594534,          7
884, 1513594535,        662
885, 1513594536,       1044
886, 1513594537,      60378
887, 1513594538,        225
888, 1513594539,        953
889, 1513594540,      42767
890, 1513594541,      66281
891, 1513594542,         36
892, 1513594543,        114
893, 1513594544,       1151
894, 1513594545,      60187
895, 1513594546,     318201
896, 1513594547,      53130
897, 1513594548,          1
898, 1513594549,          3
899, 1513594550,          2
900, 1513594551,        853
901, 1513594552,      93536
902, 1513594553,     198128
903, 1513594554,       1128
904, 1513594555,          4
905, 1513594556,       1119
906, 1513594557,     251500
907, 1513594558,     148938
908, 1513594559,          5
909, 1513594560,          8
910, 1513594561,          5
911, 1513594562,        596
912, 1513594563,       1301
913, 1513594564,      27899
914, 1513594565,     243403
915, 1513594566,        725
916, 1513594567,      99116
917, 1513594568,     327006
918, 1513594569,         15
919, 1513594570,         27
920, 1513594571,          4
921, 1513594572,          4
922, 1513594573,         41
923, 1513594574,          4
924, 1513594575,        255
925, 1513594576,     186156
926, 1513594577,      11899
927, 1513594578,      29240
928, 1513594579,        856
929, 1513594580,     144894
930, 1513594581,     128840
931, 1513594582,         11
932, 1513594583,         39
933, 1513594584,          1
934, 1513594585,       1413
935, 1513594586,     309973
936, 1513594587,     156566
937, 1513594588,          4
938, 1513594589,         44
939, 1513594590,       1084
940, 1513594591,        959
941, 1513594592,     126950
942, 1513594593,         17
943, 1513594594,         47
944, 1513594595,        721
945, 1513594596,      20916
946, 1513594597,         39
947, 1513594598,         28
948, 1513594599,       1011
949, 1513594600,      14886
950, 1513594601,     379919
951, 1513594602,      95530
952, 1513594603,          4
953, 1513594604,         38
954, 1513594605,          9
955, 1513594606,          7
956, 1513594607,        662
957, 1513594608,       1310
958, 1513594609,     169017
959, 1513594610,         70
960, 1513594611,        935
961, 1513594612,       1168
962, 1513594613,      70271
963, 1513594614,     243141
964, 1513594615,      98783
965, 1513594616,         15
966, 1513594617,     195564
967, 1513594618,      71757
968, 1513594619,          0
969, 1513594620,         35
970, 1513594621,          5
971, 1513594622,          2
972, 1513594623,      87424
973, 1513594624,     193213
974, 1513594625,         40
975, 1513594626,      41787
976, 1513594627,          4
977, 1513594628,     168501
978, 1513594629,     266331
979, 1513594630,         37
980, 1513594631,          7
981, 1513594632,          6
982, 1513594633,          5
983, 1513594634,     184919
984, 1513594635,     120143
985, 1513594636,         39
986, 1513594637,          5
987, 1513594638,          5
988, 1513594639,       1431
989, 1513594640,     289978
990, 1513594641,         38
991, 1513594642,          6
992, 1513594643,          8
993, 1513594644,      17522
994, 1513594645,     402939
995, 1513594646,      89204
996, 1513594647,          5
997, 1513594648,          3
998, 1513594649,          6
999, 1513594650,          2
1000, 1513594651,      53983
1001, 1513594652,     125171
1002, 1513594653,     178919
1003, 1513594654,      16627
1004, 1513594655,         12
1005, 1513594656,        458
1006, 1513594657,       1541
1007, 1513594658,     135956
1008, 1513594659,     144883
1009, 1513594660,          5
1010, 1513594661,        294
1011, 1513594662,     352798
1012, 1513594663,      66141
1013, 1513594664,         11
1014, 1513594665,          6
1015, 1513594666,          5
1016, 1513594667,         39
1017, 1513594668,     131163
1018, 1513594669,      61804
1019, 1513594670,     134566
1020, 1513594671,      47059
1021, 0,          0
1022, 1513594673,         49
1023, 1513594674,        520
1024, 1513594675,     303556
1025, 1513594676,     154150
1026, 1513594677,          4
1027, 1513594678,         18
1028, 1513594679,         28
1029, 1513594680,        724
1030, 1513594681,     221733
1031, 1513594682,          4
1032, 1513594683,         19
1033, 1513594684,         40
1034, 1513594685,       1930
1035, 1513594686,       1164
1036, 1513594687,         27
1037, 1513594688,        366
1038, 1513594689,      12587
1039, 1513594690,     384347
1040, 1513594691,      52246
1041, 1513594692,          0
1042, 1513594693,          1
1043, 1513594694,         36
1044, 1513594695,          2
1045, 1513594696,        404
1046, 1513594697,      89659
1047, 1513594698,      24703
1048, 1513594699,         54
1049, 1513594700,       1104
1050, 1513594701,      17487
1051, 1513594702,      27318
1052, 1513594703,         29
1053, 1513594704,         74
1054, 1513594705,       2169
1055, 1513594706,     424974
1056, 1513594707,      21926
1057, 1513594708,          4
1058, 1513594709,          4
1059, 1513594710,         44
1060, 1513594711,          4
1061, 1513594712,        483
1062, 1513594713,      65255
1063, 1513594714,     122209
1064, 1513594715,     107828
1065, 1513594716,      93882
1066, 1513594717,       1812
1067, 1513594718,      24919
1068, 1513594719,      87253
1069, 1513594720,         55
1070, 1513594721,          3
1071, 1513594722,        605
1072, 1513594723,         46
1073, 1513594724,         36
1074, 1513594725,        110
1075, 1513594726,       2602
1076, 1513594727,     288802
1077, 1513594728,     137651
1078, 1513594729,          1
1079, 1513594730,          0
1080, 1513594731,         39
1081, 1513594732,       1140
1082, 1513594733,      91436
1083, 1513594734,      49865
1084, 1513594735,      46396
1085, 1513594736,         46
1086, 1513594737,        919
1087, 1513594738,      78969
1088, 1513594739,     351848
1089, 1513594740,          6
1090, 1513594741,         42
1091, 1513594742,         12
1092, 1513594743,      24736
1093, 1513594744,     141588
1094, 1513594745,         11
1095, 1513594746,         72
1096, 1513594747,          4
1097, 1513594748,      10705
1098, 1513594749,      14988
1099, 1513594750,         15
1100, 1513594751,         31
1101, 1513594752,       2629
1102, 1513594753,      57705
1103, 1513594754,     480535
1104, 1513594755,      44614
1105, 1513594756,          6
1106, 1513594757,         39
1107, 1513594758,          2
1108, 1513594759,       1463
1109, 1513594760,      22610
1110, 1513594761,      46333
1111, 1513594762,         74
1112, 1513594763,        332
1113, 1513594764,      67584
1114, 1513594765,     115756
1115, 1513594766,          6
1116, 1513594767,         56
1117, 1513594768,        282
1118, 1513594769,         51
1119, 1513594770,         16
1120, 1513594771,          9
1121, 1513594772,        583
1122, 1513594773,       3485
1123, 1513594774,     163387
1124, 1513594775,     373938
1125, 1513594776,          6
1126, 1513594777,          4
1127, 1513594778,         40
1128, 1513594779,          8
1129, 1513594780,          4
1130, 1513594781,       1385
1131, 1513594782,     285147
1132, 1513594783,         39
1133, 1513594784,         10
1134, 1513594785,          4
1135, 1513594786,     252787
1136, 1513594787,     121802
1137, 1513594788,         37
1138, 1513594789,          5
1139, 1513594790,         10
1140, 1513594791,         19
1141, 1513594792,     216980
1142, 1513594793,         66
1143, 1513594794,         23
1144, 1513594795,         12
1145, 1513594796,        377
1146, 1513594797,         13
1147, 1513594798,         12
1148, 1513594799,         40
1149, 1513594800,       1512
1150, 1513594801,     440327
1151, 1513594802,     106451
1152, 1513594803,          2
1153, 1513594804,         40
1154, 1513594805,          4
1155, 1513594806,          7
1156, 1513594807,          4
1157, 1513594808,       1873
1158, 1513594809,     189241
1159, 1513594810,         11
1160, 1513594811,         13
1161, 1513594812,       2960
1162, 1513594813,        266
1163, 1513594814,         52
1164, 1513594815,         15
1165, 1513594816,     182177
1166, 1513594817,     331525
1167, 1513594818,      43571
1168, 1513594819,         38
1169, 1513594820,          5
1170, 1513594821,          7
1171, 1513594822,        374
1172, 1513594823,     123050
1173, 1513594824,          5
1174, 1513594825,         39
1175, 1513594826,      23842
1176, 1513594827,       1141
1177, 1513594828,     238022
1178, 1513594829,     172592
1179, 1513594830,         37
